codigoPartida,resultado,juego,anyo,mes,dia,codigoTorneo
4487,0,4enRaya,2024,12,14,0000
7664,1,Damas,2025,01,27,0000
8899,2,4enRaya,2024,11,30,0000
8982,2,Damas,2025,03,18,0000
2295,0,Damas,2025,06,28,0000
5035,1,4enRaya,2025,05,01,0000
1731,0,Damas,2025,06,13,0000
6416,2,4enRaya,2024,12,27,0000
4842,2,Damas,2024,11,24,0000
5963,1,Damas,2025,06,12,0000
6969,2,4enRaya,2024,06,25,0000
7357,0,4enRaya,2025,03,17,0000
5309,1,Damas,2024,04,07,0000
8465,2,Damas,2025,02,28,0000
8749,0,4enRaya,2025,01,23,0000
4347,0,4enRaya,2025,03,05,0000
5792,0,4enRaya,2024,07,28,0000
9680,1,4enRaya,2024,06,22,0000
0795,1,Damas,2025,01,14,0000
9172,2,Damas,2024,04,26,0000
8847,2,Damas,2024,08,23,0000
6252,2,4enRaya,2024,06,06,0000
4319,0,Damas,2024,09,02,0000
8967,0,Damas,2024,08,01,0000
7170,0,Damas,2024,12,24,0000
6317,2,4enRaya,2024,07,28,0000
2750,1,4enRaya,2024,05,16,0000
3895,2,4enRaya,2024,11,01,0000
2449,0,4enRaya,2024,10,25,0000
0200,2,Damas,2024,11,19,0000
0952,0,Damas,2024,06,25,1247
1240,1,Damas,2024,05,29,8621
8574,2,4enRaya,2024,09,21,1213
2722,0,Damas,2025,01,04,6844
2923,1,Damas,2024,08,21,8539
6973,0,4enRaya,2024,12,04,5950
6379,2,4enRaya,2024,04,18,5434
1024,1,Damas,2024,09,18,6531
2563,1,Damas,2024,06,02,8138
9059,0,4enRaya,2025,01,02,6892
7921,0,4enRaya,2024,07,18,0031
0061,2,4enRaya,2024,03,31,1689
9052,1,4enRaya,2024,05,21,9742
9864,2,Damas,2024,09,06,3348
4638,1,4enRaya,2024,11,15,3685
7859,1,Damas,2024,10,27,5077
4437,0,4enRaya,2024,04,17,2756
1354,1,4enRaya,2024,05,07,2631
0641,2,4enRaya,2024,05,06,3419
4176,2,4enRaya,2024,06,01,6539
